t;ncases;oid_;pop19;tx;lon;lat
01/09/2020;9;1;46075;19,53;-8,416663019;40,57429256
02/09/2020;8;1;46075;17,36;-8,416663019;40,57429256
03/09/2020;13;1;46075;28,21;-8,416663019;40,57429256
04/09/2020;13;1;46075;28,21;-8,416663019;40,57429256
05/09/2020;13;1;46075;28,21;-8,416663019;40,57429256
06/09/2020;12;1;46075;26,04;-8,416663019;40,57429256
07/09/2020;13;1;46075;28,21;-8,416663019;40,57429256
08/09/2020;14;1;46075;30,39;-8,416663019;40,57429256
09/09/2020;14;1;46075;30,39;-8,416663019;40,57429256
10/09/2020;13;1;46075;28,21;-8,416663019;40,57429256
11/09/2020;13;1;46075;28,21;-8,416663019;40,57429256
12/09/2020;11;1;46075;23,87;-8,416663019;40,57429256
13/09/2020;11;1;46075;23,87;-8,416663019;40,57429256
01/09/2020;1;2;24144;4,14;-8,479691604;40,69278595
02/09/2020;1;2;24144;4,14;-8,479691604;40,69278595
03/09/2020;1;2;24144;4,14;-8,479691604;40,69278595
04/09/2020;1;2;24144;4,14;-8,479691604;40,69278595
05/09/2020;1;2;24144;4,14;-8,479691604;40,69278595
06/09/2020;1;2;24144;4,14;-8,479691604;40,69278595
07/09/2020;1;2;24144;4,14;-8,479691604;40,69278595
08/09/2020;1;2;24144;4,14;-8,479691604;40,69278595
09/09/2020;1;2;24144;4,14;-8,479691604;40,69278595
10/09/2020;2;2;24144;8,28;-8,479691604;40,69278595
11/09/2020;1;2;24144;4,14;-8,479691604;40,69278595
12/09/2020;1;2;24144;4,14;-8,479691604;40,69278595
13/09/2020;1;2;24144;4,14;-8,479691604;40,69278595
01/09/2020;3;3;27258;11,01;-8,442862221;40,45120394
02/09/2020;4;3;27258;14,67;-8,442862221;40,45120394
03/09/2020;6;3;27258;22,01;-8,442862221;40,45120394
04/09/2020;6;3;27258;22,01;-8,442862221;40,45120394
05/09/2020;6;3;27258;22,01;-8,442862221;40,45120394
06/09/2020;6;3;27258;22,01;-8,442862221;40,45120394
07/09/2020;7;3;27258;25,68;-8,442862221;40,45120394
08/09/2020;7;3;27258;25,68;-8,442862221;40,45120394
09/09/2020;7;3;27258;25,68;-8,442862221;40,45120394
10/09/2020;8;3;27258;29,35;-8,442862221;40,45120394
11/09/2020;8;3;27258;29,35;-8,442862221;40,45120394
12/09/2020;8;3;27258;29,35;-8,442862221;40,45120394
13/09/2020;9;3;27258;33,02;-8,442862221;40,45120394
01/09/2020;149;4;20720;719,11;-8,273927031;40,93693217
02/09/2020;155;4;20720;748,07;-8,273927031;40,93693217
03/09/2020;166;4;20720;801,16;-8,273927031;40,93693217
04/09/2020;176;4;20720;849,42;-8,273927031;40,93693217
05/09/2020;183;4;20720;883,2;-8,273927031;40,93693217
06/09/2020;183;4;20720;883,2;-8,273927031;40,93693217
07/09/2020;187;4;20720;902,51;-8,273927031;40,93693217
08/09/2020;191;4;20720;921,81;-8,273927031;40,93693217
09/09/2020;197;4;20720;950,77;-8,273927031;40,93693217
10/09/2020;173;4;20720;834,94;-8,273927031;40,93693217
11/09/2020;164;4;20720;791,51;-8,273927031;40,93693217
12/09/2020;98;4;20720;472,97;-8,273927031;40,93693217
13/09/2020;98;4;20720;472,97;-8,273927031;40,93693217
01/09/2020;11;5;78734;13,97;-8,613134977;40,63041864
02/09/2020;10;5;78734;12,7;-8,613134977;40,63041864
03/09/2020;11;5;78734;13,97;-8,613134977;40,63041864
04/09/2020;11;5;78734;13,97;-8,613134977;40,63041864
05/09/2020;11;5;78734;13,97;-8,613134977;40,63041864
06/09/2020;12;5;78734;15,24;-8,613134977;40,63041864
07/09/2020;18;5;78734;22,86;-8,613134977;40,63041864
08/09/2020;20;5;78734;25,4;-8,613134977;40,63041864
09/09/2020;24;5;78734;30,48;-8,613134977;40,63041864
10/09/2020;28;5;78734;35,56;-8,613134977;40,63041864
11/09/2020;25;5;78734;31,75;-8,613134977;40,63041864
12/09/2020;24;5;78734;30,48;-8,613134977;40,63041864
13/09/2020;23;5;78734;29,21;-8,613134977;40,63041864
01/09/2020;10;6;15454;64,71;-8,284622381;41,05403522
02/09/2020;9;6;15454;58,24;-8,284622381;41,05403522
03/09/2020;10;6;15454;64,71;-8,284622381;41,05403522
04/09/2020;13;6;15454;84,12;-8,284622381;41,05403522
05/09/2020;13;6;15454;84,12;-8,284622381;41,05403522
06/09/2020;14;6;15454;90,59;-8,284622381;41,05403522
07/09/2020;15;6;15454;97,06;-8,284622381;41,05403522
08/09/2020;14;6;15454;90,59;-8,284622381;41,05403522
09/09/2020;11;6;15454;71,18;-8,284622381;41,05403522
10/09/2020;13;6;15454;84,12;-8,284622381;41,05403522
11/09/2020;11;6;15454;71,18;-8,284622381;41,05403522
12/09/2020;11;6;15454;71,18;-8,284622381;41,05403522
13/09/2020;11;6;15454;71,18;-8,284622381;41,05403522
01/09/2020;2;7;29516;6,78;-8,614154939;41,00810172
02/09/2020;2;7;29516;6,78;-8,614154939;41,00810172
03/09/2020;2;7;29516;6,78;-8,614154939;41,00810172
04/09/2020;2;7;29516;6,78;-8,614154939;41,00810172
05/09/2020;2;7;29516;6,78;-8,614154939;41,00810172
06/09/2020;2;7;29516;6,78;-8,614154939;41,00810172
07/09/2020;3;7;29516;10,16;-8,614154939;41,00810172
08/09/2020;3;7;29516;10,16;-8,614154939;41,00810172
09/09/2020;5;7;29516;16,94;-8,614154939;41,00810172
10/09/2020;6;7;29516;20,33;-8,614154939;41,00810172
11/09/2020;6;7;29516;20,33;-8,614154939;41,00810172
12/09/2020;7;7;29516;23,72;-8,614154939;41,00810172
13/09/2020;10;7;29516;33,88;-8,614154939;41,00810172
01/09/2020;1;8;26006;3,85;-8,579550118;40,76108652
02/09/2020;1;8;26006;3,85;-8,579550118;40,76108652
03/09/2020;1;8;26006;3,85;-8,579550118;40,76108652
04/09/2020;1;8;26006;3,85;-8,579550118;40,76108652
05/09/2020;1;8;26006;3,85;-8,579550118;40,76108652
06/09/2020;1;8;26006;3,85;-8,579550118;40,76108652
07/09/2020;1;8;26006;3,85;-8,579550118;40,76108652
08/09/2020;1;8;26006;3,85;-8,579550118;40,76108652
09/09/2020;2;8;26006;7,69;-8,579550118;40,76108652
10/09/2020;2;8;26006;7,69;-8,579550118;40,76108652
11/09/2020;2;8;26006;7,69;-8,579550118;40,76108652
