Type;Name;lat;lon;Equip
Centro Saude;Centro de Saúde de Vieira do Minho;41,63510527;-8,139678508;Saude
Centro Saude;Centro de Saúde de Portalegre;39,29024321;-7,43505946;Saude
Centro Saude;Centro de Saúde de Vila Nova de Foz Côa;41,07928462;-7,140848158;Saude
Centro Saude;Centro de Saúde Meda;40,96131099;-7,261454172;Saude
Centro Saude;Centro de Saúde Cuba;38,16969678;-7,894106043;Saude
Centro Saude;Unidade de Recursos Assistenciais Partilhados Amora;38,62756804;-9,113609072;Saude
Centro Saude;Centro de Saúde do Fundão;40,13448223;-7,503136022;Saude
Centro Saude;Centro de Saúde São Pedro da Cova/Rio Tinto - Unidade São Pedro da Cova;41,16005942;-8,507822255;Saude
Centro Saude;Centro de Saúde do Redondo;38,64616745;-7,549452618;Saude
Centro Saude;Centro de Saúde Gondomar/Foz do Sousa - Unidade Gondomar;41,09448243;-8,501560267;Saude
Centro Saude;Centro de Saúde Soure;40,06251659;-8,62075221;Saude
Centro Saude;Centro de Saúde Vouzela;40,72223388;-8,11367633;Saude
Centro Saude;Centro de Saúde Viseu III;40,64508869;-7,914527169;Saude
Centro Saude;Centro de Saúde Póvoa de Varzim;41,38595157;-8,761171345;Saude
Centro Saude;Atendimento Complementar Cartaxo;39,16554621;-8,783900125;Saude
Centro Saude;Centro de Saúde Ponte da Barca;41,80758437;-8,413874021;Saude
Centro Saude;Centro de Saúde Batalha;39,66188989;-8,819796581;Saude
Centro Saude;Atendimento Complementar Monchique;37,32218435;-8,551673439;Saude
Centro Saude;Atendimento Complementar Parede;38,6975876;-9,35714142;Saude
Centro Saude;Centro de Saúde Ponta do Sol;32,68546718;-17,09922393;Saude
Centro Saude;Centro de Saúde Póvoa de Santa Iria;38,86219047;-9,068310422;Saude
Centro Saude;Centro de Saúde Peniche;39,36378567;-9,382949375;Saude
Centro Saude;Centro de Saúde Reboleira;38,74979597;-9,230669255;Saude
Centro Saude;Centro de Saúde Paredes;41,20429179;-8,333203038;Saude
Centro Saude;Centro de Saúde Viana do Castelo;41,69483837;-8,828570474;Saude
Centro Saude;Centro de Saúde Santa Cruz das Flores;39,45142643;-31,12936282;Saude
Centro Saude;Centro de Saúde Santa Comba Dão;40,40716505;-8,132110969;Saude
Centro Saude;Centro de Saúde Vila do Bispo;37,08412707;-8,911726338;Saude
Centro Saude;Centro de Saúde Caniçal;32,73689934;-16,7406241;Saude
Centro Saude;Centro de Saúde Lagos;37,10180328;-8,688225927;Saude
Centro Saude;Centro de Saúde Professor Arnaldo Sampaio - Guimarães;41,44858771;-8,290923171;Saude
Centro Saude;Centro de Saúde das Caldas da Rainha;39,41145852;-9,139513926;Saude
Centro Saude;Centro de Saúde Mira;40,42667758;-8,737267354;Saude
Centro Saude;Centro de Saúde Arraiolos;38,71942383;-7,984919893;Saude
Centro Saude;Centro de Saúde Queluz;38,76162764;-9,260740251;Saude
Centro Saude;Centro de Saúde Murtosa;40,74743377;-8,648327241;Saude
Centro Saude;Centro de Saúde Tondela;40,51724026;-8,084183237;Saude
Centro Saude;Centro de Saúde Fajã da Ovelha;32,77688547;-17,22332631;Saude
Centro Saude;Centro de Saúde de Torres Vedras;39,07955769;-9,256807707;Saude
Centro Saude;Centro de Saúde Benavente;38,97720466;-8,803112574;Saude
Centro Saude;Centro de Saúde Leça da Palmeira;41,19866955;-8,697345592;Saude
Centro Saude;Atendimento Complementar Odivelas;38,80556999;-9,163445001;Saude
Centro Saude;Atendimento Complementar Santarém;39,23800899;-8,701242309;Saude
Centro Saude;Centro de Saúde Beja;38,00943108;-7,855877969;Saude
Centro Saude;Centro de Saúde de Paredes de Coura;41,91261443;-8,5645366;Saude
Centro Saude;Centro de Saúde Fátima;39,63333512;-8,681731172;Saude
Centro Saude;Centro de Saúde Moimenta da Beira;40,97224462;-7,611548236;Saude
Centro Saude;Centro de Saúde Castro Daire;40,89927273;-7,927318912;Saude
Centro Saude;Centro de Saúde Alfândega da Fé;41,34571458;-6,96304551;Saude
Centro Saude;Centro de Saúde Coração de Jesus;38,73466909;-9,154676453;Saude
Centro Saude;Centro de Saúde Alcobaça;39,55100017;-8,972632109;Saude
Centro Saude;Centro de Saúde Penha de França;38,72403536;-9,134370443;Saude
Centro Saude;Centro de Saúde Arruda dos Vinhos;38,98166205;-9,081436496;Saude
Centro Saude;Centro de Saúde Mirandela I;41,48403876;-7,175314076;Saude
Centro Saude;Centro de Saúde Aljustrel;37,88092406;-8,159831546;Saude
Centro Saude;Centro de Saúde Batalha - Porto;41,14284541;-8,608763108;Saude
Centro Saude;Centro de Saúde Campanário;32,66852689;-17,0338928;Saude
Centro Saude;Centro de Saúde de Aljezur;37,31802775;-8,796917164;Saude
Centro Saude;Centro de Saúde de Idanha-a-Nova;39,9270866;-7,240625244;Saude
Centro Saude;Centro de Saúde Arco Calheta;32,7157906;-17,14625133;Saude
Centro Saude;Centro de Saúde da Calheta;32,73161736;-17,17670893;Saude
Centro Saude;Centro de Saúde do Estreito da Calheta;32,7356038;-17,18758726;Saude
Centro Saude;Centro de Saúde do Curral das Freiras;32,72043699;-16,96640229;Saude
Centro Saude;Centro de Saúde de Câmara de Lobos;32,65111943;-16,97971406;Saude
Centro Saude;Centro de Saúde da Pontinha;38,76064453;-9,193502568;Saude
Centro Saude;Centro de Saúde de Ribeira de Pena;41,51834068;-7,794851461;Saude
Centro Saude;Centro de Saúde do Bom Jesus;32,6517446;-16,906254;Saude
Centro Saude;Centro de Saúde Ilha;32,80478027;-16,88142695;Saude
Centro Saude;Centro de Saúde do Caniço;32,65223985;-16,84805964;Saude
Centro Saude;Centro de Saúde de Elvas;38,87051249;-7,165730024;Saude
Centro Saude;Centro de Saúde de Vizela;41,3794182;-8,314118699;Saude
Centro Saude;Centro de Saúde de Braga;41,54709257;-8,427773925;Saude
Centro Saude;Centro de Saúde de Rio Maior;39,34388402;-8,945254144;Saude
Centro Saude;Centro de Saúde Santa Maria da Feira;40,92633256;-8,548063406;Saude
Centro Saude;Centro de Saúde de Ferreira do Zêzere;39,68848357;-8,287492944;Saude
Centro Saude;Centro de Saúde de Monforte;;;
;39,05096769;-7,4380977;Saude;
Centro Saude;Centro de Saúde da Nazaré;39,59572574;-9,069317826;Saude
Centro Saude;Centro de Saúde da Trofa;41,33729738;-8,555880066;Saude
Centro Saude;Centro de Saúde de Serpa;37,94118357;-7,602101047;Saude
Centro Saude;Centro de Saúde Seguros;;;
;41,15073343;-8,620563546;Saude;
Centro Saude;Centro de Saúde de Eiras;40,25027402;-8,424657991;Saude
Centro Saude;Centro de Saúde de Vagos;40,54685725;-8,686194187;Saude
Centro Saude;Centro de Saúde de Melgaço;42,11584743;-8,259109058;Saude
Centro Saude;Centro de Saúde de Carnaxide;38,72770712;-9,239466372;Saude
Centro Saude;Centro de Saúde de Sacavém;38,79758451;-9,116327153;Saude
Centro Saude;Centro de Saúde de Amarante;;;
;41,27338978;-8,079472391;Saude;
Centro Saude;Centro de Saúde da Amorosa;41,44699475;-8,302295692;Saude
Centro Saude;Centro de Saúde de Torre de Moncorvo;41,17447127;-7,046521833;Saude
Centro Saude;Centro de Saúde de Sintra;38,80233373;-9,381300161;Saude
Centro Saude;Serviço de Atendimento a Utentes Sem Médico Porto Ocidental;41,15638441;-8,620646087;Saude
Centro Saude;Centro de Saúde de Setúbal;38,52206169;-8,891725088;Saude
Centro Saude;Centro de Súde de São Sebastião;38,5328519;-8,864034549;Saude
Centro Saude;Centro de Saúde dos Olivais;;;
;38,77249815;-9,118397907;Saude;
Centro Saude;Centro de Saúde de Alcoutim;37,4740783;-7,47516596;Saude
Centro Saude;Centro de Saúde de Barão do Corvo;41,12656612;-8,625006331;Saude
Centro Saude;Centro de Saúde de Arganil;40,21589841;-8,054420595;Saude
Centro Saude;Centro de Saúde de Terras de Bouro;41,71696505;-8,308562188;Saude
Centro Saude;Centro de Saúde de Aveiro;40,63188735;-8,647080063;Saude
Centro Saude;Centro de Saúde de Vila Nova de Cerveira;41,94464765;-8,743350998;Saude
Centro Saude;Centro de Saúde de Marvão;;;
;39,39384658;-7,372960114;Saude;
Centro Saude;Centro de Saúde do Lumiar;38,77212749;-9,161148361;Saude
Centro Saude;Centro de Saúde de Cinfães;41,07418642;-8,091451583;Saude
Centro Saude;Centro de Saúde de Anadia;;;
;40,43568394;-8,44043176;Saude;
Centro Saude;Centro de Saúde do Seixal;38,64082856;-9,099670369;Saude
Centro Saude;Centro de Saúde do Cadaval;39,23776174;-9,102891523;Saude
Centro Saude;Centro de Saúde de Vila Nova de Paiva;40,84980637;-7,7271595;Saude
Centro Saude;Centro de Saúde de Povoação;37,74862518;-25,24420284;Saude
Centro Saude;Centro de Saúde de Rebordosa;41,22037974;-8,413784211;Saude
Centro Saude;Centro de Cascais;38,70266042;-9,421193282;Saude
Centro Saude;Centro de Saúde de Mafra;38,93958915;-9,334415621;Saude
Centro Saude;Centro de Saúde de Penalva do Castelo;40,6782991;-7,694738726;Saude
Centro Saude;Centro de Saúde de Freixo  - Ponte de Lima;41,65656735;-8,585122461;Saude
Centro Saude;Centro de Saúde de Ponte de Lima;41,76659585;-8,578907404;Saude
Centro Saude;Centro de Saúde da Mealhada;40,38013542;-8,455995393;Saude
Centro Saude;Centro de Saúde Baião;41,16038579;-8,037505333;Saude
Centro Saude;Centro de Saúde de Quarteira;37,07078757;-8,092959817;Saude
Centro Saude;Centro de Saúde de Trancoso;40,77558639;-7,353824191;Saude
Centro Saude;Centro de Saúde de Vimioso;41,59064047;-6,526051841;Saude
Centro Saude;Centro de Saúde de Ansião;39,91402857;-8,436480145;Saude
Centro Saude;Centro de Saúde Famalicão I;41,4065574;-8,526717275;Saude
Centro Saude;Centro de Saúde Famalicão II;41,38347618;-8,415549884;Saude
Centro Saude;Centro de Saúde de Santa Clara;;;
;40,2020867;-8,444770088;Saude;
Centro Saude;Unidade de Cuidados de Saúde Primários de Resende;41,1050858;-7,967968832;Saude
Centro Saude;Centro de Saúde da Lagoa;37,1361942;-8,458562782;Saude
Centro Saude;Centro de Saúde de Alhandra;38,92587612;-9,008779537;Saude
Centro Saude;Unidade de Saúde de Algés - Atendimento Complementar Algés;38,70355266;-9,227829943;Saude
Centro Saude;Centro de Saúde Dr. Rui Adriano de Freitas;32,64385251;-16,93385425;Saude
Centro Saude;Centro de Saúde de Loulé;37,14548009;-8,012596005;Saude
