Type;Name;lat;lon;Equip
Hospital;UCSP Águeda V - Pólo Borralha;40,5584765;-8,4380365;Saúde
Hospital;Centro Hospitalar de Águeda;40,5756411;-8,4487362;Saúde
Hospital;Centro de Saúde de Águeda;40,5823497;-8,4469657;Saúde
Hospital;;40,6863037;-8,4844105;Saúde
Hospital;Centro de Saúde de Albergaria-a-Velha;40,6861759;-8,4818358;Saúde
Hospital;Clínica Médica e Dentária de Angeja;40,6798024;-8,5570601;Saúde
Hospital;Hospital José Luciano de Castro;40,4427544;-8,4417217;Saúde
Hospital;Hospital da Misericórdia de Sangalhos;40,4908751;-8,4728958;Saúde
Hospital;Centro de Saúde de Anadia;40,4351608;-8,4407012;Saúde
Hospital;;40,4318389;-8,436553;Saúde
Hospital;Centro de Saúde de Aguim;40,4132109;-8,448118;Saúde
Hospital;Centro de Saúde de Arouca;40,930386;-8,2548963;Saúde
Hospital;;40,9311696;-8,2451831;Saúde
Hospital;;40,646685;-8,6320252;Saúde
Hospital;Hospital de Cuidados Continuados Integrados;40,5973583;-8,6727013;Saúde
Hospital;Hospital Distrital de São João da Madeira;40,8936117;-8,4947959;Saúde
Hospital;;40,9311696;-8,2451831;Saúde
Hospital;Centro de saúde de Vale de Cambra;40,8474462;-8,3932409;Saúde
Hospital;Hospital Infante Dom Pedro;40,6357527;-8,6547205;Saúde
Hospital;Centro de Saúde de Anadia;40,4351608;-8,4407012;Saúde
Hospital;Farmácia Capão Filipe;40,6427851;-8,6220035;Saúde
Hospital;Hospital da Luz Aveiro;40,6374547;-8,6368298;Saúde
Hospital;Hospital José Luciano de Castro;40,4427544;-8,4417217;Saúde
Hospital;Hospital Doutor Francisco Zagalo;40,8579273;-8,6321659;Saúde
Hospital;Unidade de Saúde Familiar Beira Ria;40,6120971;-8,7516786;Saúde
Hospital;;40,6863037;-8,4844105;Saúde
Hospital;Centro de Saúde de Albergaria-a-Velha;40,6861759;-8,4818358;Saúde
Hospital;Hospital da Misericórdia;41,0399307;-8,268108;Saúde
Hospital;UCSP Águeda V - Pólo Borralha;40,5584765;-8,4380365;Saúde
Hospital;Centro de Saúde de Eixo;40,6282835;-8,5690923;Saúde
Hospital;Centro de Saúde;41,0401845;-8,2673709;Saúde
Hospital;Hospital São Miguel;40,8412776;-8,4716113;Saúde
Hospital;Centro de Saúde de Vagos;40,5467844;-8,6857249;Saúde
Hospital;Centro Hospitalar de Águeda;40,5756411;-8,4487362;Saúde
Hospital;Hospital Distrital de São João da Madeira;40,8939709;-8,4946345;Saúde
Hospital;Hospital de São Sebastião;40,9311264;-8,54839;Saúde
Hospital;Unidade de Saúde de Fiães;40,9860526;-8,5201017;Saúde
Hospital;Centro Médico Privado de Estarreja;40,7546691;-8,5690623;Saúde
Hospital;Avelab;40,6398625;-8,6413723;Saúde
Hospital;Centro Hospitalar de Vila Nova de Gaia/Espinho;41,0024921;-8,6371172;Saúde
Hospital;;40,4318389;-8,436553;Saúde
Hospital;Posto Médico de S. Jacinto;40,6622085;-8,7338816;Saúde
Hospital;Centro de Saúde;40,8951804;-8,496412;Saúde
Hospital;Hospital Visconde de Salreu;40,7476825;-8,5688038;Saúde
Hospital;Clínica Médica da Praça;40,8491081;-8,3912558;Saúde
Hospital;Hospital de Oliveira de Azeméis;40,8414337;-8,4713764;Saúde
Hospital;Posto Médico de Covão do Lobo;40,4407798;-8,6460032;Saúde
Hospital;;40,7613961;-8,7036208;Saúde
Hospital;Centro de Saúde de Murtosa;40,7474419;-8,6486649;Saúde
Hospital;Dentacambra;40,8506772;-8,3946725;Saúde
Hospital;Centro de Saúde de Santa Joana;40,632228;-8,6187422;Saúde
Hospital;Posto de Saúde da Gafanha da Boa Hora;40,540563;-8,7557756;Saúde
Hospital;Posto Médico;40,6436373;-8,6521093;Saúde
Hospital;Hospital da Misericórdia de Sangalhos;40,4908751;-8,4728958;Saúde
Hospital;Centro de Saúde de Aguim;40,4132109;-8,448118;Saúde
Hospital;Clínica Médica e Dentária de Angeja;40,6798024;-8,5570601;Saúde
Hospital;Centro de Saúde da Gafanha da Nazaré;40,6355804;-8,7120291;Saúde
Hospital;Centro de Saúde Oliveira de Azeméis;40,8478106;-8,4649555;Saúde
Hospital;Centro de Saúde de Sever do Vouga;40,7268763;-8,3641931;Saúde
Hospital;Centro de Saúde;40,8548876;-8,377049;Saúde
Hospital;Centro de Saúde de Estarreja;40,760451;-8,5743475;Saúde
Hospital;Centro de Saúde de Oliveira do Bairro;40,517015;-8,4934998;Saúde
Hospital;CLIRIA - CLÍNICA DE OIÃ;40,5428801;-8,5379597;Saúde
Hospital;Cuidados continuados;40,8480171;-8,3921183;Saúde
Hospital;Centro de Saúde de Ouca;40,5230315;-8,6343379;Saúde
Hospital;Hospital de Vale de CambraCentro de Saúde;40,8480235;-8,3926173;Saúde
Hospital;Centro de Saúde de Sosa;40,5429183;-8,6465863;Saúde
Hospital;Centro de Saúde da Mealhada;40,3801291;-8,4562682;Saúde
Hospital;Centro de Saúde de Oliveirinha;40,6010842;-8,6049641;Saúde
Hospital;Centro de Saúde de Arouca;40,930386;-8,2548963;Saúde
Hospital;Centro de Saúde de Águeda;40,5823497;-8,4469657;Saúde
Hospital;Centro de Saúde de Aradas;40,6057862;-8,6362436;Saúde
Hospital;Centro de Saúde;41,0401845;-8,2673709;Saúde
Hospital;Hospital da Misericórdia;41,0399307;-8,268108;Saúde
Hospital;Centro Hospitalar de Vila Nova de Gaia/Espinho;41,0024921;-8,6371172;Saúde
Hospital;Centro de Saúde de Estarreja;40,760451;-8,5743475;Saúde
Hospital;Hospital Visconde de Salreu;40,7476825;-8,5688038;Saúde
Hospital;Centro Médico Privado de Estarreja;40,7546691;-8,5690623;Saúde
Hospital;Hospital de Cuidados Continuados Integrados;40,5973583;-8,6727013;Saúde
Hospital;Centro de Saúde da Gafanha da Nazaré;40,6355804;-8,7120291;Saúde
Hospital;Unidade de Saúde Familiar Beira Ria;40,6120971;-8,7516786;Saúde
Hospital;Centro de Saúde da Mealhada;40,3801291;-8,4562682;Saúde
Hospital;Centro de Saúde de Murtosa;40,7474419;-8,6486649;Saúde
Hospital;;40,7613961;-8,7036208;Saúde
Hospital;Hospital São Miguel;40,8412776;-8,4716113;Saúde
Hospital;Centro de Saúde Oliveira de Azeméis;40,8478106;-8,4649555;Saúde
Hospital;Hospital de Oliveira de Azeméis;40,8414337;-8,4713764;Saúde
Hospital;Centro de Saúde de Oliveira do Bairro;40,517015;-8,4934998;Saúde
Hospital;CLIRIA - CLÍNICA DE OIÃ;40,5428801;-8,5379597;Saúde
Hospital;Hospital Doutor Francisco Zagalo;40,8579273;-8,6321659;Saúde
Hospital;Unidade de Saúde de Fiães;40,9860526;-8,5201017;Saúde
Hospital;Hospital de São Sebastião;40,9311264;-8,54839;Saúde
Hospital;Hospital Distrital de São João da Madeira;40,8936117;-8,4947959;Saúde
Hospital;Hospital Distrital de São João da Madeira;40,8939709;-8,4946345;Saúde
Hospital;Centro de Saúde;40,8951804;-8,496412;Saúde
Hospital;Centro de Saúde de Sever do Vouga;40,7268763;-8,3641931;Saúde
Hospital;Centro de Saúde de Vagos;40,5467844;-8,6857249;Saúde
Hospital;Centro de Saúde de Ouca;40,5230315;-8,6343379;Saúde
Hospital;Posto de Saúde da Gafanha da Boa Hora;40,540563;-8,7557756;Saúde
Hospital;Posto Médico de Covão do Lobo;40,4407798;-8,6460032;Saúde
Hospital;Centro de Saúde de Sosa;40,5429183;-8,6465863;Saúde
Hospital;Clínica Médica da Praça;40,8491081;-8,3912558;Saúde
Hospital;Dentacambra;40,8506772;-8,3946725;Saúde
Hospital;Centro de Saúde;40,8548876;-8,377049;Saúde
Hospital;Cuidados continuados;40,8480171;-8,3921183;Saúde
Hospital;Centro de saúde de Vale de Cambra;40,8474462;-8,3932409;Saúde
Hospital;Hospital de Vale de CambraCentro de Saúde;40,8480235;-8,3926173;Saúde
Hospital;Hospital de São Paulo - Serpa;37,9443159;-7,5958545;Saúde
Hospital;Hospital José Joaquim Fernandes;38,0142979;-7,8713918;Saúde
Hospital;Hospital de São Paulo - Serpa;37,9443159;-7,5958545;Saúde
Hospital;Casa da Saúde Amares;41,6304605;-8,3508792;Saúde
Hospital;Cruz Vermelha de Amares;41,6301168;-8,3488748;Saúde
Hospital;Centro de Saúde de Amares;41,6303396;-8,358863;Saúde
Hospital;Hospital de Santa Maria Maior;41,5330744;-8,6164029;Saúde
Hospital;Unidade de Saúde Familiar de Santo António;41,5357195;-8,6141308;Saúde
Hospital;Centro de Saúde de Barcelinhos;41,5214628;-8,6178809;Saúde
Hospital;Clínica Saúde e Vida;41,6156419;-8,7177482;Saúde
Hospital;Casa de saúde S. João de Deus;41,5410266;-8,6211019;Saúde
Hospital;Hospital Particular Barcelos;41,519811;-8,6345309;Saúde
Hospital;Hospital de Fafe;41,4500031;-8,1695736;Saúde
Hospital;Hospital de Dia da Trofa;41,3998052;-8,5170035;Saúde
Hospital;Hospital Privado Braga;41,5248064;-8,4141191;Saúde
Hospital;Cruz Vermelha de Salamonde;41,6820726;-8,0921277;Saúde
Hospital;Hospital São João de Deus;41,4131579;-8,5237956;Saúde
Hospital;;41,6351969;-8,1424339;Saúde
Hospital;USF de Gualtar;41,568531;-8,3869981;Saúde
Hospital;Centro de Saúde;41,5671945;-8,1053477;Saúde
Hospital;Hospital Valentim Ribeiro;41,5366613;-8,7813168;Saúde
Hospital;Centro de Diagnóstico Pneumológico de Braga;41,5485469;-8,429615;Saúde
Hospital;Hospital Particular Barcelos;41,519811;-8,6345309;Saúde
Hospital;Cruz Vermelha;41,7182673;-8,3112948;Saúde
Hospital;Hospital Privado de Braga (Centro);41,5498525;-8,4185915;Saúde
Hospital;Unidade de Saúde Paulo Osório;NA;NA;Saúde
Hospital;Cuidados Continuados;41,3761686;-8,315006;Saúde
Hospital;Centro de Saúde;41,4423365;-8,3796175;Saúde
Hospital;Casa da Saúde Amares;41,6304605;-8,3508792;Saúde
Hospital;Clínica Saúde e Vida;41,6156419;-8,7177482;Saúde
Hospital;Centro Saúde Ribeirão;41,3580956;-8,5603793;Saúde
Hospital;Casa de saúde S. João de Deus;41,5410266;-8,6211019;Saúde
Hospital;Clínica médica dentária;41,5619316;-8,4204518;Saúde
Hospital;Clínica Dentária Braga Parque;41,559711;-8,4069884;Saúde
Hospital;Unidade de Cuidados de Saúde Personalizados de Adaúfe;41,5859827;-8,4018721;Saúde
Hospital;Clínica Dentária Braga Parque;41,5603159;-8,4067458;Saúde
Hospital;Cruz Vermelha Portuguesa - Delegação do Gerês;41,7215613;-8,1662765;Saúde
Hospital;Clínica VizelMédica;41,3821914;-8,3157245;Saúde
Hospital;Clínica Dentária;41,5575556;-8,4204352;Saúde
Hospital;Posto de Saúde;41,3835384;-8,4155696;Saúde
Hospital;Centro de Saúde de Amares;41,6303396;-8,358863;Saúde
Hospital;Santa Casa da Misericórdia de Fão;41,5117352;-8,7729232;Saúde
Hospital;Hospital de Santa Maria Maior;41,5330744;-8,6164029;Saúde
Hospital;Clinica Dentária 2m;41,3710203;-8,4271341;Saúde
Hospital;Centro de Saúde;41,6004453;-8,4597584;Saúde
Hospital;Clínica de Medicina Dentária Doutora Sílvia Silva;41,3709391;-8,092774;Saúde
Hospital;Pedologia B-Saúde;41,3701904;-8,426948;Saúde
Hospital;Extensão UCSP Cabreiros/Sequeira - Pólo Cabreiros (CS Braga II - Maximinos);41,5317809;-8,4910028;Saúde
Hospital;Hospital António Lopes;41,5736346;-8,2659417;Saúde
Hospital;Hospital da Senhora da Oliveira Guimarães, EPE;41,4407234;-8,306052;Saúde
Hospital;Centro de Saúde de Urgezes;41,4269987;-8,2940403;Saúde
Hospital;;41,5683334;-8,4344933;Saúde
Hospital;;41,5757292;-8,2631173;Saúde
Hospital;Centro de Saúde de Celorico de Basto;41,3845813;-8,0007891;Saúde
Hospital;Hospital Narciso Ferreira;41,3908807;-8,3905284;Saúde
Hospital;Centro de Saúde de Vizela;41,3757583;-8,3121983;Saúde
Hospital;Centro de Saúde de Barcelinhos;41,5214628;-8,6178809;Saúde
Hospital;Cruz Vermelha Portuguesa;41,5484885;-8,4152241;Saúde
Hospital;Hospital Privado de Braga (Centro);41,5501426;-8,4191246;Saúde
Hospital;Clínica Santa Tecla;41,5488065;-8,4115796;Saúde
Hospital;Centro de Saúde de Vizela;41,3792618;-8,3144794;Saúde
Hospital;Hospital de Braga;41,5668621;-8,401134;Saúde
Hospital;Unidade de Saúde Familiar de Santo António;41,5357195;-8,6141308;Saúde
Hospital;Hospital Privado de Guimarães;41,4296471;-8,3220063;Saúde
Hospital;Unidade de Saúde Familiar Bracara Augusta;41,5422435;-8,4105654;Saúde
Hospital;Unidade de Saúde do Carandá;41,5467352;-8,4146584;Saúde
Hospital;Clínica Dentária;41,5702042;-8,4355661;Saúde
Hospital;Cruz Vermelha de Amares;41,6301168;-8,3488748;Saúde
Hospital;Cruz Vermelha Portuguesa - Delegação Marinhas;41,5569857;-8,7830557;Saúde
Hospital;Santa Casa da Misericórdia;41,6526004;-8,4351106;Saúde
Hospital;Entrada Principal Ágora;41,5675427;-8,3995399;Saúde
Hospital;Centro de Saúde;41,6353499;-8,1396253;Saúde
Hospital;Centro de Saúde da Amorosa;41,4472663;-8,3027821;Saúde
Hospital;Clínica de Medicina Dentária Doutora Sílvia Silva;41,3709391;-8,092774;Saúde
Hospital;Centro de Saúde de Celorico de Basto;41,3845813;-8,0007891;Saúde
Hospital;Santa Casa da Misericórdia de Fão;41,5117352;-8,7729232;Saúde
Hospital;Hospital Valentim Ribeiro;41,5366613;-8,7813168;Saúde
Hospital;Cruz Vermelha Portuguesa - Delegação Marinhas;41,5569857;-8,7830557;Saúde
Hospital;Hospital de Fafe;41,4500031;-8,1695736;Saúde
Hospital;Centro de Saúde da Amorosa;41,4472663;-8,3027821;Saúde
Hospital;Hospital Privado de Guimarães;41,4296471;-8,3220063;Saúde
Hospital;Centro de Saúde;41,4423365;-8,3796175;Saúde
Hospital;Centro de Saúde de Urgezes;41,4269987;-8,2940403;Saúde
Hospital;Hospital da Senhora da Oliveira Guimarães, EPE;41,4407234;-8,306052;Saúde
Hospital;;41,5757292;-8,2631173;Saúde
Hospital;Hospital António Lopes;41,5736346;-8,2659417;Saúde
Hospital;Cruz Vermelha;41,7182673;-8,3112948;Saúde
Hospital;Cruz Vermelha Portuguesa - Delegação do Gerês;41,7215613;-8,1662765;Saúde
Hospital;Centro de Saúde;41,6353499;-8,1396253;Saúde
Hospital;Centro de Saúde;41,5671945;-8,1053477;Saúde
Hospital;Cruz Vermelha de Salamonde;41,6820726;-8,0921277;Saúde
Hospital;;41,6351969;-8,1424339;Saúde
Hospital;Hospital Narciso Ferreira;41,3908807;-8,3905284;Saúde
Hospital;Clinica Dentária 2m;41,3710203;-8,4271341;Saúde
Hospital;Posto de Saúde;41,3835384;-8,4155696;Saúde
Hospital;Hospital São João de Deus;41,4131579;-8,5237956;Saúde
Hospital;Hospital de Dia da Trofa;41,3998052;-8,5170035;Saúde
Hospital;Pedologia B-Saúde;41,3701904;-8,426948;Saúde
Hospital;Centro Saúde Ribeirão;41,3580956;-8,5603793;Saúde
Hospital;Santa Casa da Misericórdia;41,6526004;-8,4351106;Saúde
Hospital;Centro de Saúde;41,6004453;-8,4597584;Saúde
Hospital;Centro de Saúde de Vizela;41,3757583;-8,3121983;Saúde
Hospital;Clínica VizelMédica;41,3821914;-8,3157245;Saúde
Hospital;Centro de Saúde de Vizela;41,3792618;-8,3144794;Saúde
Hospital;Cuidados Continuados;41,3761686;-8,315006;Saúde
Hospital;Hospital Psiquiátrico;41,8179853;-6,7504943;Saúde
Hospital;Centro de Saúde;41,4956414;-6,2772463;Saúde
Hospital;Hospital de Mirandela;41,4849037;-7,1898437;Saúde
Hospital;Terra Quente;41,4811416;-7,1793714;Saúde
Hospital;Centro de Saúde de Sendim;41,3910929;-6,4238808;Saúde
Hospital;;41,5359624;-6,9608138;Saúde
Hospital;Centro Saude;41,2469062;-7,3071449;Saúde
Hospital;Unidade Cuidados Continuados;41,3397964;-6,7141339;Saúde
Hospital;Unidade Local de Saúde do Nordeste EPE;41,8041437;-6,7687339;Saúde
Hospital;Urgências;41,3432598;-6,7123469;Saúde
Hospital;Hospital da Santa Casa de Misericórdia;41,3093553;-7,158134;Saúde
Hospital;Cruz Vermelha;41,3415443;-6,7138005;Saúde
Hospital;Centro de Saúde;41,3095109;-7,1575504;Saúde
Hospital;;41,3432003;-6,7126788;Saúde
Hospital;Centro Saude;41,2469062;-7,3071449;Saúde
Hospital;;41,5359624;-6,9608138;Saúde
Hospital;Centro de Saúde de Sendim;41,3910929;-6,4238808;Saúde
Hospital;Centro de Saúde;41,4956414;-6,2772463;Saúde
Hospital;Terra Quente;41,4811416;-7,1793714;Saúde
Hospital;Hospital de Mirandela;41,4849037;-7,1898437;Saúde
Hospital;;41,3432003;-6,7126788;Saúde
Hospital;Unidade Cuidados Continuados;41,3397964;-6,7141339;Saúde
Hospital;Urgências;41,3432598;-6,7123469;Saúde
Hospital;Cruz Vermelha;41,3415443;-6,7138005;Saúde
Hospital;Hospital da Santa Casa de Misericórdia;41,3093553;-7,158134;Saúde
Hospital;Centro de Saúde;41,3095109;-7,1575504;Saúde
Hospital;Clinica das Violetas;39,8250205;-7,5066228;Saúde
Hospital;;39,7510958;-7,9206429;Saúde
Hospital;;39,8415323;-7,5034369;Saúde
